                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.56639,                0.39658,                0.89615,                0.96795,                 0.9689,                0.99052,                0.89953,                0.45344,                0.31779,                0.84735,              0.0077428,              0.0077428,              0.0077428
                     59,                0.57245,                0.39663,                0.90169,                0.95483,                0.97455,                0.99016,                0.89224,                0.47614,                 0.3391,                0.85363,              0.0077032,              0.0077032,              0.0077032
                     60,                0.57791,                0.39429,                0.89756,                0.95751,                0.97926,                0.99055,                0.89782,                0.45974,                0.32651,                0.84757,              0.0076636,              0.0076636,              0.0076636
                     61,                0.55652,                0.38794,                0.89948,                0.96816,                0.95997,                0.98966,                0.89885,                0.45611,                0.34487,                0.84684,               0.007624,               0.007624,               0.007624
                     62,                0.55927,                0.38827,                0.89394,                0.96509,                0.97712,                0.99052,                 0.8989,                0.46799,                 0.3174,                0.84985,              0.0075844,              0.0075844,              0.0075844
                     63,                0.55519,                0.38473,                0.89403,                0.96159,                0.96701,                 0.9905,                0.90142,                0.45757,                0.32252,                0.84431,              0.0075448,              0.0075448,              0.0075448
                     64,                0.55296,                0.38311,                0.89647,                0.96949,                0.96466,                  0.991,                0.89421,                0.46498,                0.32704,                0.84931,              0.0075052,              0.0075052,              0.0075052
                     65,                0.56128,                0.38418,                0.90233,                0.97146,                0.96239,                 0.9907,                0.89698,                0.45923,                0.31949,                0.84813,              0.0074656,              0.0074656,              0.0074656
                     66,                0.56752,                0.39177,                0.89461,                0.96588,                0.97385,                0.99089,                0.89744,                0.45663,                0.32874,                0.84368,               0.007426,               0.007426,               0.007426
                     67,                0.54872,                0.38661,                0.89497,                0.97366,                0.97569,                0.99169,                0.90052,                0.46015,                0.32224,                0.84481,              0.0073864,              0.0073864,              0.0073864
                     68,                0.55942,                0.38969,                0.89564,                0.97177,                0.97455,                0.99174,                0.90225,                0.45535,                0.31308,                 0.8503,              0.0073468,              0.0073468,              0.0073468
                     69,                0.55071,                0.38001,                0.89344,                0.97692,                0.97726,                0.99216,                0.90922,                0.43635,                0.30092,                0.83953,              0.0073072,              0.0073072,              0.0073072
                     70,                0.55502,                0.38399,                0.88905,                0.97248,                0.96577,                0.99067,                0.89902,                0.45512,                0.31418,                0.84323,              0.0072676,              0.0072676,              0.0072676
                     71,                0.55098,                 0.3753,                0.89183,                0.97077,                0.97026,                0.99116,                0.90047,                 0.4468,                0.31623,                0.84172,               0.007228,               0.007228,               0.007228
                     72,                 0.5541,                0.37405,                0.89143,                0.97164,                0.96371,                0.99075,                 0.9025,                0.44537,                0.32107,                0.84143,              0.0071884,              0.0071884,              0.0071884
                     73,                0.54587,                0.38116,                0.89219,                0.97599,                0.96937,                0.99183,                0.90372,                 0.4418,                0.31047,                0.84319,              0.0071488,              0.0071488,              0.0071488
                     74,                0.54751,                0.37638,                0.88967,                0.97375,                0.97891,                0.99195,                 0.9079,                0.42739,                0.29789,                0.83701,              0.0071092,              0.0071092,              0.0071092
                     75,                0.56102,                0.37867,                0.89503,                0.96745,                0.98061,                0.99152,                0.90703,                0.43847,                0.30455,                0.83985,              0.0070696,              0.0070696,              0.0070696
                     76,                0.54502,                0.37528,                0.89334,                0.96668,                0.98429,                0.99182,                0.90994,                0.43436,                0.30258,                0.83621,                0.00703,                0.00703,                0.00703
                     77,                 0.5485,                0.36709,                0.89196,                0.96539,                0.98209,                0.99234,                0.91242,                0.41818,                0.29211,                0.83236,              0.0069904,              0.0069904,              0.0069904
                     78,                0.54036,                0.37273,                0.89013,                0.98465,                0.96748,                0.99246,                0.91308,                0.43045,                0.30463,                0.83502,              0.0069508,              0.0069508,              0.0069508
                     79,                0.54261,                0.36557,                0.89076,                0.97135,                0.97785,                0.99159,                0.90566,                 0.4393,                0.29954,                0.84028,              0.0069112,              0.0069112,              0.0069112
                     80,                0.53153,                0.36739,                0.88554,                0.97754,                0.98398,                0.99253,                0.91121,                0.42167,                0.30128,                0.83656,              0.0068716,              0.0068716,              0.0068716
                     81,                0.54588,                0.37808,                0.88974,                0.97779,                0.98398,                0.99291,                0.91251,                0.42295,                0.29708,                0.83359,               0.006832,               0.006832,               0.006832
                     82,                 0.5309,                0.36329,                0.88168,                0.97295,                0.98115,                0.99232,                0.91306,                0.41933,                0.28909,                0.83445,              0.0067924,              0.0067924,              0.0067924
                     83,                0.53916,                0.36298,                0.88612,                0.96421,                0.97756,                0.99059,                0.90723,                0.42957,                0.30892,                0.84168,              0.0067528,              0.0067528,              0.0067528
                     84,                0.53588,                0.37186,                0.88678,                0.97874,                0.97626,                0.99228,                0.91326,                0.42086,                0.29561,                0.83378,              0.0067132,              0.0067132,              0.0067132
                     85,                0.53202,                0.35722,                0.88055,                 0.9806,                0.97832,                0.99261,                0.91184,                0.42926,                0.28991,                0.83603,              0.0066736,              0.0066736,              0.0066736
                     86,                0.53321,                0.35066,                0.88355,                0.98052,                0.98303,                0.99296,                0.91513,                0.41792,                0.27794,                0.83112,               0.006634,               0.006634,               0.006634
                     87,                0.53141,                0.35507,                0.88209,                 0.9798,                0.97455,                0.99229,                0.91144,                0.43232,                  0.284,                0.83239,              0.0065944,              0.0065944,              0.0065944
                     88,                0.52576,                0.35057,                 0.8878,                0.98334,                0.97382,                0.99253,                0.91061,                 0.4334,                 0.2838,                0.83416,              0.0065548,              0.0065548,              0.0065548
                     89,                0.53253,                0.35609,                0.88401,                0.98527,                0.97707,                0.99258,                0.91518,                0.41834,                0.28129,                0.83248,              0.0065152,              0.0065152,              0.0065152
                     90,                0.52959,                0.35931,                0.88806,                0.98246,                0.98209,                0.99314,                0.91749,                 0.4163,                 0.2812,                0.82964,              0.0064756,              0.0064756,              0.0064756
                     91,                 0.5259,                0.35241,                0.88311,                0.98388,                0.97819,                0.99281,                 0.9154,                0.41777,                0.28544,                0.82879,               0.006436,               0.006436,               0.006436
                     92,                0.52972,                0.35372,                0.88135,                0.98619,                0.97628,                0.99304,                0.91925,                0.41325,                0.28103,                0.83238,              0.0063964,              0.0063964,              0.0063964
                     93,                0.52772,                 0.3517,                0.88298,                0.98482,                0.97837,                0.99333,                0.92027,                0.41125,                0.27164,                0.82956,              0.0063568,              0.0063568,              0.0063568
                     94,                0.51596,                0.34395,                0.87707,                0.98461,                0.98162,                0.99299,                0.91662,                0.41966,                0.27598,                0.82888,              0.0063172,              0.0063172,              0.0063172
                     95,                0.52663,                0.35194,                0.88352,                0.97832,                0.97834,                0.99268,                0.91791,                0.41145,                0.27614,                0.82892,              0.0062776,              0.0062776,              0.0062776
                     96,                0.51084,                0.33987,                0.88569,                0.98992,                0.97738,                 0.9933,                0.92053,                0.41214,                0.27052,                0.83183,               0.006238,               0.006238,               0.006238
                     97,                0.51599,                0.34529,                0.87979,                0.98294,                0.98586,                0.99295,                0.91966,                0.40388,                0.26819,                  0.829,              0.0061984,              0.0061984,              0.0061984
                     98,                  0.512,                0.34387,                0.87602,                0.98532,                0.98209,                0.99336,                0.92107,                0.41054,                0.27115,                0.82802,              0.0061588,              0.0061588,              0.0061588
                     99,                0.52115,                0.34825,                0.87925,                0.98534,                 0.9818,                0.99341,                0.92367,                0.39816,                0.26913,                0.82595,              0.0061192,              0.0061192,              0.0061192
                    100,                0.50998,                0.34518,                0.87915,                0.98345,                0.98027,                0.99341,                0.91881,                0.40793,                0.26895,                0.82949,              0.0060796,              0.0060796,              0.0060796
                    101,                0.51245,                0.35036,                  0.876,                0.98597,                0.97738,                 0.9931,                0.92085,                0.40545,                0.28327,                0.82553,                0.00604,                0.00604,                0.00604
                    102,                 0.5203,                0.34305,                0.88256,                0.98633,                0.98115,                0.99333,                0.92856,                0.39169,                0.26465,                0.82423,              0.0060004,              0.0060004,              0.0060004
                    103,                0.50862,                0.33991,                0.87872,                0.98573,                0.98351,                  0.993,                0.92492,                0.39924,                0.26341,                0.82532,              0.0059608,              0.0059608,              0.0059608
                    104,                 0.5168,                0.33553,                0.87698,                0.98012,                0.98586,                0.99321,                0.92574,                0.40074,                0.25915,                0.82458,              0.0059212,              0.0059212,              0.0059212
                    105,                 0.5084,                0.33668,                0.87515,                 0.9812,                0.98372,                0.99306,                 0.9207,                0.39635,                0.26899,                0.82495,              0.0058816,              0.0058816,              0.0058816
                    106,                0.51568,                0.33633,                0.87766,                0.98129,                0.98871,                0.99349,                0.92643,                0.39213,                0.25931,                0.82582,               0.005842,               0.005842,               0.005842
                    107,                0.51538,                0.33244,                0.87245,                0.98156,                0.98539,                0.99356,                0.92202,                0.40468,                0.26901,                0.82676,              0.0058024,              0.0058024,              0.0058024
                    108,                0.50912,                0.34192,                0.87254,                0.98038,                0.98922,                0.99352,                0.92652,                0.38977,                0.26581,                0.82227,              0.0057628,              0.0057628,              0.0057628
                    109,                0.51558,                0.33767,                0.87934,                0.98695,                0.98445,                0.99384,                0.92808,                0.39189,                0.25853,                0.82383,              0.0057232,              0.0057232,              0.0057232
                    110,                0.50674,                0.33066,                 0.8774,                0.98459,                0.98492,                0.99336,                0.92426,                0.39612,                0.26269,                0.82399,              0.0056836,              0.0056836,              0.0056836
                    111,                0.50466,                 0.3373,                0.87723,                0.98476,                0.98539,                0.99344,                0.92436,                0.39874,                0.26457,                0.82569,               0.005644,               0.005644,               0.005644
                    112,                0.50328,                0.33179,                0.87598,                0.98594,                0.98068,                0.99355,                0.92775,                0.38958,                0.25725,                0.82149,              0.0056044,              0.0056044,              0.0056044
                    113,                0.50663,                0.33441,                0.87953,                0.98153,                0.98728,                0.99367,                0.92855,                0.39363,                0.26234,                0.82321,              0.0055648,              0.0055648,              0.0055648
                    114,                0.50576,                0.33095,                0.87466,                0.98045,                0.98728,                0.99358,                0.92362,                0.39949,                0.25523,                0.82311,              0.0055252,              0.0055252,              0.0055252
                    115,                0.50085,                0.32132,                0.87046,                0.98583,                0.98358,                0.99364,                0.92761,                0.39229,                0.25826,                0.82362,              0.0054856,              0.0054856,              0.0054856
                    116,                0.50424,                0.32663,                0.87655,                0.98575,                0.98963,                0.99367,                0.92993,                0.39098,                0.25566,                0.82038,               0.005446,               0.005446,               0.005446
                    117,                0.50548,                 0.3322,                0.87738,                0.98617,                0.98115,                0.99362,                0.92598,                0.39725,                0.25994,                0.82225,              0.0054064,              0.0054064,              0.0054064
                    118,                0.49425,                0.32085,                0.87144,                0.98775,                0.98763,                 0.9935,                0.93178,                0.38532,                 0.2481,                 0.8203,              0.0053668,              0.0053668,              0.0053668
                    119,                0.49953,                0.32565,                0.87375,                 0.9852,                0.98869,                0.99384,                0.92994,                 0.3863,                0.24832,                0.82062,              0.0053272,              0.0053272,              0.0053272
                    120,                0.49962,                0.32492,                0.86944,                0.98679,                0.98588,                0.99349,                0.93031,                0.38908,                0.25285,                0.82057,              0.0052876,              0.0052876,              0.0052876
                    121,                0.49292,                0.32573,                0.86955,                0.98978,                 0.9868,                0.99405,                0.93173,                0.38439,                0.25075,                0.81961,               0.005248,               0.005248,               0.005248
                    122,                0.49406,                0.32414,                0.87015,                0.98496,                0.98753,                  0.994,                0.93043,                0.38393,                0.25482,                0.81824,              0.0052084,              0.0052084,              0.0052084
